Unnamed: 0,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
818,"April 13, 2020",Illinois,Chicago,600 block of E 133rd St,0,1,http://www.gunviolencearchive.org/incident/1658582,https://chicago.suntimes.com/crime/2020/4/14/21220351/6-shot-1-fatally-april-14-monday-gun-violence-homicide-crime
819,"April 13, 2020",Illinois,Chicago,3800 block of W Adams St,0,1,http://www.gunviolencearchive.org/incident/1658594,https://chicago.suntimes.com/crime/2020/4/14/21220351/6-shot-1-fatally-april-14-monday-gun-violence-homicide-crime
820,"April 13, 2020",New Mexico,Albuquerque,600 block of Virginia St NE,0,1,http://www.gunviolencearchive.org/incident/1657864,https://www.kob.com/albuquerque-news/police-investigate-shooting-in-ne-albuquerque/5699241/?cat=516&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Kobcom-AlbuquerqueMetro+%28KOB.com+-+Albuquerque+Metro+News%29
821,"April 13, 2020",Illinois,Chicago,12400 block of S Perry St,0,1,http://www.gunviolencearchive.org/incident/1658597,https://chicago.suntimes.com/crime/2020/4/14/21220351/6-shot-1-fatally-april-14-monday-gun-violence-homicide-crime
822,"April 13, 2020",Pennsylvania,Philadelphia,1400 block of W Girard Ave,0,1,http://www.gunviolencearchive.org/incident/1856572,https://www.opendataphilly.org/dataset/shooting-victims/resource/a6240077-cbc7-46fb-b554-39417be606ee?fbclid=IwAR3qc3Qq58vSGiBnOi2Zcvp_8DtbBnf6gbwCiQ2C4OLoXkCzYf6yjg9VPgk
823,"April 13, 2020",Pennsylvania,Philadelphia,6100 block of Buist Ave,0,1,http://www.gunviolencearchive.org/incident/1856574,https://www.opendataphilly.org/dataset/shooting-victims/resource/a6240077-cbc7-46fb-b554-39417be606ee?fbclid=IwAR3qc3Qq58vSGiBnOi2Zcvp_8DtbBnf6gbwCiQ2C4OLoXkCzYf6yjg9VPgk
824,"April 13, 2020",Florida,Jacksonville,600 block of Willow Branch Ave,0,1,http://www.gunviolencearchive.org/incident/1658610,https://www.firstcoastnews.com/article/news/crime/shooting-reported-in-murray-hill-neighborhood/77-b89d341c-63a0-48b5-b1d9-686a2b80ecbd
825,"April 13, 2020",New York,Albany (Colonie),119 Old Loudon Rd,0,0,http://www.gunviolencearchive.org/incident/1664320,https://www.news10.com/news/arrests-made-in-april-13-shots-fired-incident/
826,"April 13, 2020",Maryland,Baltimore,700 block of Appleton St,0,1,http://www.gunviolencearchive.org/incident/1658635,https://foxbaltimore.com/news/city-in-crisis/2-injured-in-separate-shootings-in-baltimore-today
827,"April 13, 2020",Maryland,Baltimore,2000 block of W Fayette St,0,1,http://www.gunviolencearchive.org/incident/1658637,https://baltimore.cbslocal.com/2020/04/14/2-men-shot-in-baltimore-monday-night/
828,"April 13, 2020",California,Oakland,I-880,0,2,http://www.gunviolencearchive.org/incident/1658639,https://www.eastbaytimes.com/2020/04/14/two-wounded-in-i-880-shooting-in-oakland/
829,"April 13, 2020",Michigan,Muskegon,889 Woodside Rd,0,1,http://www.gunviolencearchive.org/incident/1658644,https://www.mlive.com/news/muskegon/2020/04/suspect-in-roosevelt-park-shooting-sought-by-police.html
830,"April 13, 2020",Ohio,Middletown,Calumet Ave,0,1,http://www.gunviolencearchive.org/incident/1658478,https://www.journal-news.com/news/crime--law/cousin-arrested-for-allegedly-shooting-middletown-man-groin/oVbDYsLV2Vai3Pn2aBHO6O/
831,"April 13, 2020",Florida,Port Saint Lucie,500 block of SW Undallo Rd,0,2,http://www.gunviolencearchive.org/incident/1659180,https://www.tcpalm.com/story/news/crime/st-lucie-county/2020/04/14/teen-accused-shooting-two-men-port-st-lucie-after-drug-sale/2990139001/
832,"April 13, 2020",California,Brentwood,Cashew St,0,1,http://www.gunviolencearchive.org/incident/1658656,https://www.mercurynews.com/2020/04/14/person-airlifted-to-trauma-center-after-east-bay-shooting/
833,"April 13, 2020",California,Oakland,Bancroft Ave and Vicksburg Ave,0,1,http://www.gunviolencearchive.org/incident/1658661,https://www.mercurynews.com/2020/04/14/man-shot-after-oakland-vehicle-collision/
834,"April 13, 2020",Indiana,Bloomington,4545 IN-45,0,0,http://www.gunviolencearchive.org/incident/1670150,https://www.wthr.com/article/federal-investigators-looking-bloomington-gun-store-burglars
835,"April 13, 2020",Delaware,Newark,50 block of New London Ave,0,0,http://www.gunviolencearchive.org/incident/1658614,http://firststateupdate.com/2020/04/newark-police-arrest-four-in-home-invasion-robbery-case/
836,"April 13, 2020",South Carolina,Rock Hill,1895 Springsteen Rd,0,2,http://www.gunviolencearchive.org/incident/1658674,https://www.wbtv.com/2020/04/14/two-teens-hurt-rock-hill-apartment-shooting/
837,"November 18, 2020",Tennessee,Memphis,I-240 and Poplar Ave,0,0,http://www.gunviolencearchive.org/incident/1854985,https://www.wmcactionnews5.com/2020/11/18/suspect-detained-after-interstate-shooting-i-/
838,"November 18, 2020",Illinois,Chicago,10400 block of S Wentworth Ave,0,1,http://www.gunviolencearchive.org/incident/1855774,https://chicago.suntimes.com/crime/2020/11/19/21574795/chicago-shootings-nov-18-gun-violence-homicide
839,"November 18, 2020",Illinois,Chicago,50 block of E 9th St,0,0,http://www.gunviolencearchive.org/incident/1855786,https://chicago.suntimes.com/news/2020/11/19/21574790/man-carjacked-9th-street-south-loop-police
840,"November 18, 2020",Arizona,Prescott Valley,8600 E Nace Ln,0,0,http://www.gunviolencearchive.org/incident/1873988,https://www.dcourier.com/news/2020/dec/09/18-year-old-prescott-valley-resident-arrested-poin/
841,"November 18, 2020",Maryland,Baltimore,300 block of S Monroe St,1,0,http://www.gunviolencearchive.org/incident/1854937,https://foxbaltimore.com/news/local/overnight-violence-man-killed-in-south-baltimore-shooting
842,"November 18, 2020",Maryland,Fort Washington,200 block of Taurus Dr,1,0,http://www.gunviolencearchive.org/incident/1854940,https://wjla.com/news/local/police-37-year-old-charged-in-deadly-prince-georges-county-shooting
843,"November 18, 2020",Connecticut,Stratford,402 Burritt Ave,1,0,http://www.gunviolencearchive.org/incident/1855246,https://www.courant.com/breaking-news/hc-br-stratford-fatal-shooting-20201120-bizky37vzzf6tldwfhogxuokcy-story.html
844,"November 18, 2020",Florida,Opa Locka,13180 Port Said Rd,0,2,http://www.gunviolencearchive.org/incident/1855707,https://wsvn.com/news/local/young-girl-man-transported-to-hospital-after-drive-by-shooting-in-opa-locka/
845,"November 18, 2020",Illinois,Chicago,4953 S Michigan Ave,0,1,http://www.gunviolencearchive.org/incident/1855051,https://twitter.com/SPOTNEWSonIG/status/1328936914465021952
846,"November 18, 2020",Missouri,Saint Louis,201 N Tucker Blvd,0,0,http://www.gunviolencearchive.org/incident/1855053,https://www.ksdk.com/article/news/crime/suspect-crashes-carjacking-downtown-papa-johns/63-aff701e9-ea70-475e-b59d-5b202152206d
847,"November 18, 2020",Indiana,Indianapolis (Lawrence),5350 Cider Mill Ln,1,0,http://www.gunviolencearchive.org/incident/1855120,https://www.wishtv.com/news/crime-watch-8/shooting-leaves-1-dead-in-lawrence-after-disturbance-between-neighbors/
848,"November 18, 2020",New Mexico,Silver City,Broken Arrow Dr,1,0,http://www.gunviolencearchive.org/incident/1861910,https://www.scdailypress.com/2020/12/18/accused-shooter-put-on-house-arrest/
849,"November 18, 2020",Georgia,Covington,5123 Cook St,1,0,http://www.gunviolencearchive.org/incident/1855825,https://www.covnews.com/news/crime/covington-man-charged-murder-after-wife-found-dead-gunshot/
850,"November 18, 2020",Rhode Island,Providence,Luna St and Ashton St,0,0,http://www.gunviolencearchive.org/incident/1855830,https://www.golocalprov.com/news/police-responded-to-shots-fired-find-34-spent-shell-casings-off-branch-aven
851,"November 18, 2020",Maryland,Hagerstown,N Cannon Ave,0,1,http://www.gunviolencearchive.org/incident/1855762,https://www.localdvm.com/news/maryland/shooting-suspect-behind-bars/
852,"November 18, 2020",Vermont,Swanton,,0,0,http://www.gunviolencearchive.org/incident/1855838,https://vtstatepolice.blogspot.com/2020/11/st-albans-barracks-persons-prohibited.html
853,"November 18, 2020",Indiana,Fort Wayne,400 block of 4th St,0,1,http://www.gunviolencearchive.org/incident/1855679,https://journalgazette.net/news/local/police-fire/20201120/16-year-old-shot-badly-hurt-near-skate-park
854,"November 18, 2020",Indiana,Hammond,1000 block of Moss St,0,1,http://www.gunviolencearchive.org/incident/1855847,https://www.nwitimes.com/news/hammond-drive-by-shooting-leaves-one-wounded-police-say/article_5594524a-31ea-57e2-8abe-7604420b4156.html
855,"November 18, 2020",Iowa,Waterloo,2500 block of Idaho St,0,0,http://www.gunviolencearchive.org/incident/1856013,https://wcfcourier.com/news/local/crime-and-courts/arrests-in-stolen-rifle-found-following-chase/article_d534ef8d-258f-5701-abf1-55442631fccb.html
856,"November 18, 2020",Florida,Daytona Beach,Martin Luther King Jr Blvd and Bellevue Ave,0,1,http://www.gunviolencearchive.org/incident/1855863,https://www.news-journalonline.com/story/news/crime/2020/11/18/woman-shot-leg-daytona-beach-police-say-suspect-custody/6340272002/
857,"November 18, 2020",Nevada,Elko,,1,0,http://www.gunviolencearchive.org/incident/1855833,https://www.fox5vegas.com/news/elko-police-shooting-death-of-boy-was-a-tragic-accident/article_03832266-f1c2-5c60-98bc-144afe5157d0.html?block_id=994400
858,"November 18, 2020",California,Oakland,5700 block of Trask St,1,0,http://www.gunviolencearchive.org/incident/1855677,https://www.eastbaytimes.com/2020/11/18/at-least-one-injured-in-east-oakland-shooting/
859,"November 18, 2020",Colorado,Colorado Springs,520 N Murray Blvd,1,1,http://www.gunviolencearchive.org/incident/1855304,https://www.fox21news.com/news/crime/one-dead-after-shooting-at-eastern-colorado-springs-motel/
